Term,Format,Midterm,Final
W19,Campus,82,123
Sp18,Campus,89,64
W19,Campus,95,158
W19,Online,97,56
Sp18,Online,104,161
F18,Online,105,115
W19,Campus,105,195
W19,Campus,109,141
F18,Campus,111,188
W19,Campus,113,126
F18,Campus,113.5,125
W19,Campus,115,93
F18,Campus,115,107
Sp18,Online,115,150
W19,Online,116,106
W19,Campus,116,200
Sp18,Online,118,163
W19,Campus,119,111
W19,Campus,121,160
W19,Campus,123,135
F18,Online,124,189
F18,Online,125,167
W19,Campus,126,144
Sp18,Online,129,159
F18,Online,129,197
F18,Online,130,151
F18,Campus,130.5,161
W19,Campus,131,124
W19,Campus,132,224
W19,Campus,133,116
W19,Campus,133,171
W19,Campus,135,163
W19,Campus,136,166
W19,Campus,137,163
W19,Campus,138,208
W19,Online,139,66
W19,Campus,139,111
F18,Campus,139,144
W19,Campus,139,158
F18,Campus,139,165
W19,Campus,139,183
F18,Campus,139.5,103
F18,Online,140,170
W19,Online,141,167
F18,Campus,141,173
W19,Campus,141,178
W19,Campus,141,198
W19,Campus,141,199
W19,Campus,142,150
W19,Campus,142,167
W19,Campus,142,189
W19,Campus,142,190
F18,Campus,142,191
F18,Campus,142.5,178
F18,Online,143,156
Sp18,Campus,143,179
F18,Campus,143.5,128
W19,Campus,143.5,194
Sp18,Online,144,176
F18,Campus,144,180
F18,Campus,144,186
Sp18,Campus,144,195
W19,Campus,144,209
F18,Campus,144.5,183
F18,Campus,144.5,204
Sp18,Campus,145,165
F18,Campus,145,176
W19,Campus,145,185
W19,Campus,146,165
W19,Campus,146,174
W19,Campus,146,192
Sp18,Campus,146,235
F18,Online,146.5,202
W19,Online,147,189
W19,Campus,147,199
F18,Online,148,154
F18,Campus,148,176
W19,Online,148,182
F18,Campus,149.5,184
F18,Campus,150,148
Sp18,Campus,150,166
F18,Campus,150,183
W19,Campus,150,212
W19,Campus,150.5,196
Sp18,Campus,152,149
Sp18,Campus,152,160
W19,Campus,152,174
Sp18,Campus,152,192
Sp18,Campus,152,223
F18,Campus,153.5,135
Sp18,Campus,154,123
W19,Campus,154,203
Sp18,Online,155,145
Sp18,Campus,155,153
F18,Online,155,158
W19,Campus,155,196
F18,Campus,155,197
W19,Campus,155,203
Sp18,Online,156,148
F18,Campus,156,190
W19,Campus,156.5,157
F18,Online,157,224
F18,Campus,157.5,179
F18,Campus,157.5,195
F18,Campus,157.5,214
Sp18,Campus,158,171
F18,Campus,158,184
W19,Campus,158,186
W19,Campus,158,233
Sp18,Campus,158.5,168
F18,Campus,158.5,205
W19,Online,158.5,218
Sp18,Campus,159,162
W19,Campus,159,193
F18,Campus,159.5,192
W19,Online,160,158
F18,Online,160,182
W19,Campus,160,208
W19,Campus,160,229
W19,Campus,160,242
W19,Campus,161,164
W19,Campus,161,172
F18,Campus,161,194
F18,Campus,161,195
W19,Campus,161,210
W19,Campus,161,212
F18,Campus,162,149
W19,Campus,162,149
F18,Online,162,173
W19,Online,162.5,177
Sp18,Campus,162.5,180
Sp18,Campus,163,139
F18,Campus,163,143
F18,Campus,163,166
W19,Campus,163,179
Sp18,Online,163,184
F18,Online,163,187
F18,Online,163,211
W19,Campus,164,156
W19,Campus,164,189
F18,Online,164,235
Sp18,Campus,165,151
F18,Online,165,170
Sp18,Campus,165,171
W19,Campus,165,194
W19,Campus,165,203
Sp18,Campus,165,206
Sp18,Online,165,216
W19,Campus,166,134
W19,Online,166,149
Sp18,Campus,166,167
Sp18,Campus,166,178
Sp18,Online,166,178
W19,Campus,166,180
F18,Campus,166,207
W19,Campus,166,207
F18,Campus,166.5,171
Sp18,Campus,167,177
